district,blood_group,observations,average_stock,median_stock,total_units,stockout_percentage,low_stock_percentage
Aurangabad,B+,336,65.38095238095238,44.0,21968.0,0.0,10.119047619047619
Aurangabad,B-,336,3.7172619047619047,2.0,1249.0,35.714285714285715,44.642857142857146
Aurangabad,O+,336,77.10416666666667,51.0,25907.0,1.488095238095238,6.547619047619048
Aurangabad,O-,336,2.574404761904762,2.0,865.0,20.238095238095237,70.53571428571429
Beed,A+,156,21.878205128205128,19.0,3413.0,12.179487179487179,23.717948717948715
Beed,A-,156,1.6666666666666667,1.0,260.0,26.282051282051285,70.51282051282051
Beed,AB+,156,8.032051282051283,6.5,1253.0,14.102564102564102,29.48717948717949
Beed,AB-,156,1.2435897435897436,0.0,194.0,57.05128205128205,39.743589743589745
Beed,B+,156,31.916666666666668,23.0,4979.0,2.564102564102564,25.64102564102564
Beed,B-,156,2.019230769230769,2.0,315.0,21.153846153846153,73.07692307692307
Beed,O+,156,27.666666666666668,27.5,4316.0,1.9230769230769231,11.538461538461538
Beed,O-,156,2.8846153846153846,2.0,450.0,23.076923076923077,61.53846153846154
Bhandara,A+,48,26.1875,27.5,1257.0,6.25,10.416666666666668
Bhandara,A-,48,1.4583333333333333,1.0,70.0,39.58333333333333,52.083333333333336
Bhandara,AB+,48,11.104166666666666,10.0,533.0,0.0,6.25
Bhandara,AB-,48,0.5,0.5,24.0,50.0,50.0
Bhandara,B+,48,30.604166666666668,32.5,1469.0,0.0,6.25
Bhandara,B-,48,2.0833333333333335,2.0,100.0,22.916666666666664,68.75
Bhandara,O+,48,34.645833333333336,35.0,1663.0,0.0,6.25
Bhandara,O-,48,3.375,4.0,162.0,18.75,79.16666666666666
Bid,A+,12,19.083333333333332,20.0,229.0,0.0,41.66666666666667
Bid,A-,12,2.0833333333333335,2.0,25.0,16.666666666666664,83.33333333333334
Bid,AB+,12,7.5,3.0,90.0,16.666666666666664,58.333333333333336
Bid,AB-,12,0.8333333333333334,0.5,10.0,50.0,50.0
Bid,B+,12,11.75,4.0,141.0,8.333333333333332,58.333333333333336
Bid,B-,12,1.25,1.0,15.0,25.0,75.0
Bid,O+,12,23.25,24.0,279.0,0.0,8.333333333333332
Bid,O-,12,3.3333333333333335,2.0,40.0,8.333333333333332,75.0
Buldana,A+,168,1.7738095238095237,0.0,298.0,57.738095238095234,32.73809523809524
