blood_group,observations,average_stock,median_stock,total_units,stockout_units,low_stock_units,stockout_percentage,low_stock_percentage,availability_class
A+,10286,43.217480069998054,19.0,444535.0,1409,1274,13.698230604705424,12.385767062026055,Available
A-,10286,3.3176161773284076,1.0,34125.0,4237,4868,41.19191133579623,47.326463153801285,Low Stock
AB+,10286,18.809644176550652,8.0,193476.0,1761,2673,17.120357767839785,25.986778145051524,Available
AB-,10286,1.2981722729924168,0.0,13353.0,5626,4436,54.69570289714175,43.1265798172273,Low Stock
B+,10286,52.16945362628816,18.0,536615.0,1249,1598,12.142718257826171,15.535679564456542,Available
B-,10286,2.921252187439238,1.0,30048.0,3586,5524,34.86292047443126,53.704063776006215,Low Stock
O+,10286,66.60023332685203,30.0,685050.0,1261,794,12.259381683842117,7.719230021388294,Available
O-,10286,3.827921446626483,2.0,39374.0,3510,5174,34.12405210966362,50.301380517207846,Low Stock
