requester_code,requester_name,district,city,blood_group,required_units,radius_km,alternative_count,best_distance_km,best_BBRI,best_score,alternative_available
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,B+,5,50,3,3.03148566363087,13.242359408069024,92.93998567627116,1
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,B-,5,50,0,,,,0
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,O+,5,50,3,3.03148566363087,13.242359408069024,92.93998567627116,1
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,O-,5,50,0,,,,0
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,AB+,5,50,2,3.03148566363087,13.242359408069024,92.93998567627116,1
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",Akola,Akola,AB-,5,50,0,,,,0
18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College  Hospital, Blood Bank",Ahmadnagar,Ahmednagar,A+,5,50,5,10.121730306883178,13.57936412480161,87.1498383108129,1
18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College  Hospital, Blood Bank",Ahmadnagar,Ahmednagar,A-,5,50,1,10.121730306883178,13.57936412480161,87.1498383108129,1
18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College  Hospital, Blood Bank",Ahmadnagar,Ahmednagar,B+,5,50,5,10.121730306883178,13.57936412480161,87.1498383108129,1
18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College  Hospital, Blood Bank",Ahmadnagar,Ahmednagar,B-,5,50,0,,,,0
18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College  Hospital, Blood Bank",Ahmadnagar,Ahmednagar,O+,5,50,5,10.121730306883178,13.57936412480161,87.1498383108129,1
18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College  Hospital, Blood Bank",Ahmadnagar,Ahmednagar,O-,5,50,2,13.160488852106347,10.59805377675497,85.76229009645068,1
18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College  Hospital, Blood Bank",Ahmadnagar,Ahmednagar,AB+,5,50,5,10.121730306883178,13.57936412480161,87.1498383108129,1
18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College  Hospital, Blood Bank",Ahmadnagar,Ahmednagar,AB-,5,50,0,,,,0
18016,K.E.M. Hospital Blood Centre,Mumbai,Mumbai,A+,5,50,5,0.2816292032736535,20.05330973384072,92.75603823053684,1
18016,K.E.M. Hospital Blood Centre,Mumbai,Mumbai,A-,5,50,5,4.369472153619517,14.37877852199705,91.4718497944054,1
18016,K.E.M. Hospital Blood Centre,Mumbai,Mumbai,B+,5,50,5,0.2816292032736535,20.05330973384072,92.75603823053684,1
18016,K.E.M. Hospital Blood Centre,Mumbai,Mumbai,B-,5,50,5,3.918929960312577,13.021391943867474,92.30736885139632,1
18016,K.E.M. Hospital Blood Centre,Mumbai,Mumbai,O+,5,50,5,0.2816292032736535,20.05330973384072,92.75603823053684,1
18016,K.E.M. Hospital Blood Centre,Mumbai,Mumbai,O-,5,50,5,3.6513347764138064,13.38280069075897,92.39495193710331,1
18016,K.E.M. Hospital Blood Centre,Mumbai,Mumbai,AB+,5,50,5,0.2816292032736535,20.05330973384072,92.75603823053684,1
18016,K.E.M. Hospital Blood Centre,Mumbai,Mumbai,AB-,5,50,1,6.165217228113742,13.62867945878348,90.2977884069348,1
18017,Masina Hospital Blood Centre,Mumbai,Mumbai,A+,5,50,5,1.4912882050971863,13.38280069075897,94.12298919415662,1
18017,Masina Hospital Blood Centre,Mumbai,Mumbai,A-,5,50,5,1.3263957290188992,14.37877852199705,93.90631093408592,1
18017,Masina Hospital Blood Centre,Mumbai,Mumbai,B+,5,50,5,1.4912882050971863,13.38280069075897,94.12298919415662,1
18017,Masina Hospital Blood Centre,Mumbai,Mumbai,B-,5,50,5,2.537158356068746,13.021391943867474,93.4127861347914,1
18017,Masina Hospital Blood Centre,Mumbai,Mumbai,O+,5,50,5,1.4912882050971863,13.38280069075897,94.12298919415662,1
18017,Masina Hospital Blood Centre,Mumbai,Mumbai,O-,5,50,5,1.4912882050971863,13.38280069075897,94.12298919415662,1
18017,Masina Hospital Blood Centre,Mumbai,Mumbai,AB+,5,50,5,1.4912882050971863,13.38280069075897,94.12298919415662,1
18017,Masina Hospital Blood Centre,Mumbai,Mumbai,AB-,5,50,1,9.01258766460166,13.62867945878348,88.01989205774446,1
18138,Jankalyan Blood Centre,Ahmadnagar,Ahmednagar,A+,5,50,5,1.551894193071833,10.59805377675497,95.0491658236783,1
18138,Jankalyan Blood Centre,Ahmadnagar,Ahmednagar,A-,5,50,1,1.591802458335125,13.57936412480161,93.97378058965134,1
18138,Jankalyan Blood Centre,Ahmadnagar,Ahmednagar,B+,5,50,5,1.551894193071833,10.59805377675497,95.0491658236783,1
18138,Jankalyan Blood Centre,Ahmadnagar,Ahmednagar,B-,5,50,0,,,,0
18138,Jankalyan Blood Centre,Ahmadnagar,Ahmednagar,O+,5,50,5,1.551894193071833,10.59805377675497,95.0491658236783,1
18138,Jankalyan Blood Centre,Ahmadnagar,Ahmednagar,O-,5,50,3,1.551894193071833,10.59805377675497,95.0491658236783,1
18138,Jankalyan Blood Centre,Ahmadnagar,Ahmednagar,AB+,5,50,5,1.551894193071833,10.59805377675497,95.0491658236783,1
18138,Jankalyan Blood Centre,Ahmadnagar,Ahmednagar,AB-,5,50,0,,,,0
18252,"Dean, Govt. Medical College Hospital Blood Centre Aurangabad",Aurangabad,Aurangabad,A+,5,50,5,1.4553842909501122,13.41918257781606,94.13897866500427,1
18252,"Dean, Govt. Medical College Hospital Blood Centre Aurangabad",Aurangabad,Aurangabad,A-,5,50,0,,,,0
18252,"Dean, Govt. Medical College Hospital Blood Centre Aurangabad",Aurangabad,Aurangabad,B+,5,50,5,1.4553842909501122,13.41918257781606,94.13897866500427,1
18252,"Dean, Govt. Medical College Hospital Blood Centre Aurangabad",Aurangabad,Aurangabad,B-,5,50,3,1.4553842909501122,13.41918257781606,94.13897866500427,1
18252,"Dean, Govt. Medical College Hospital Blood Centre Aurangabad",Aurangabad,Aurangabad,O+,5,50,5,1.4553842909501122,13.41918257781606,94.13897866500427,1
18252,"Dean, Govt. Medical College Hospital Blood Centre Aurangabad",Aurangabad,Aurangabad,O-,5,50,1,33.3656913448002,15.530370378998178,67.87181729151047,1
18252,"Dean, Govt. Medical College Hospital Blood Centre Aurangabad",Aurangabad,Aurangabad,AB+,5,50,5,1.4553842909501122,13.41918257781606,94.13897866500427,1
18252,"Dean, Govt. Medical College Hospital Blood Centre Aurangabad",Aurangabad,Aurangabad,AB-,5,50,0,,,,0
18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",Solapur,Solapur,A+,5,50,5,1.134323947831292,12.945655317412651,94.56156148064052,1
18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",Solapur,Solapur,A-,5,50,2,1.134323947831292,12.945655317412651,94.56156148064052,1
18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",Solapur,Solapur,B+,5,50,5,1.134323947831292,12.945655317412651,94.56156148064052,1
18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",Solapur,Solapur,B-,5,50,1,1.161346987040043,14.26880624276587,94.07684022539992,1
18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",Solapur,Solapur,O+,5,50,5,1.134323947831292,12.945655317412651,94.56156148064052,1
18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",Solapur,Solapur,O-,5,50,1,1.0776851256730535,19.36491497467997,92.36013165832355,1
18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",Solapur,Solapur,AB+,5,50,5,1.134323947831292,12.945655317412651,94.56156148064052,1
18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",Solapur,Solapur,AB-,5,50,0,,,,0
18011,General Hospital Blood Centre,Chandrapur,Chandrapur,A+,5,50,3,0.3013983309453523,22.00340503590812,92.05768957267588,1
18011,General Hospital Blood Centre,Chandrapur,Chandrapur,A-,5,50,0,,,,0
18011,General Hospital Blood Centre,Chandrapur,Chandrapur,B+,5,50,3,0.3013983309453523,22.00340503590812,92.05768957267588,1
18011,General Hospital Blood Centre,Chandrapur,Chandrapur,B-,5,50,0,,,,0
18011,General Hospital Blood Centre,Chandrapur,Chandrapur,O+,5,50,4,0.3013983309453523,22.00340503590812,92.05768957267588,1
18011,General Hospital Blood Centre,Chandrapur,Chandrapur,O-,5,50,0,,,,0
18011,General Hospital Blood Centre,Chandrapur,Chandrapur,AB+,5,50,1,27.356666673382364,13.914149992946546,73.24471416376281,1
18011,General Hospital Blood Centre,Chandrapur,Chandrapur,AB-,5,50,0,,,,0
18253,"Shri Balaji Blood Centre , Blood Component Lab And Blood Transfusion Center",Amravati,Amravati,A+,5,50,5,0.7251348087709378,15.52095960738408,93.98755629039884,1
18253,"Shri Balaji Blood Centre , Blood Component Lab And Blood Transfusion Center",Amravati,Amravati,A-,5,50,2,0.7251348087709378,15.52095960738408,93.98755629039884,1
18253,"Shri Balaji Blood Centre , Blood Component Lab And Blood Transfusion Center",Amravati,Amravati,B+,5,50,5,0.7251348087709378,15.52095960738408,93.98755629039884,1
18253,"Shri Balaji Blood Centre , Blood Component Lab And Blood Transfusion Center",Amravati,Amravati,B-,5,50,1,5.020434499935805,14.698140324950224,90.83930328631878,1
18253,"Shri Balaji Blood Centre , Blood Component Lab And Blood Transfusion Center",Amravati,Amravati,O+,5,50,5,0.7251348087709378,15.52095960738408,93.98755629039884,1
18253,"Shri Balaji Blood Centre , Blood Component Lab And Blood Transfusion Center",Amravati,Amravati,O-,5,50,1,15.85834562302557,17.615046189549243,81.14805733523731,1
18253,"Shri Balaji Blood Centre , Blood Component Lab And Blood Transfusion Center",Amravati,Amravati,AB+,5,50,5,0.7251348087709378,15.52095960738408,93.98755629039884,1
18253,"Shri Balaji Blood Centre , Blood Component Lab And Blood Transfusion Center",Amravati,Amravati,AB-,5,50,0,,,,0
