model,accuracy,precision,recall,f1,roc_auc
HistGradientBoosting,0.9552864107251676,0.9399499582985822,0.9011194029850746,0.9201251871002858,0.977815614379953
Random Forest,0.9440127970749543,0.8888888888888888,0.9189765458422174,0.9036823483160792,0.9734878030920484
