hospital_code,blood_bank_name,district,city,area,observations,stockout_frequency,low_stock_frequency,stock_volatility,stockout_score,low_stock_score,volatility_score,BBRI,risk_class,recovery_rate,recovery_score
18098,"Akshay Blood Centre, Miraj",Sangli,Miraj,Miraj,15,0.0,0.3833333333333333,10.666779137515588,0.0,46.93877551020408,2.101853874411603,12.26015734615392,Low Risk,1.0,0.0
27126,Civil Hospital Sindhudurg,Sindhudurg,Kudal,Sindhudurg,15,0.0083333333333333,0.3833333333333333,5.0755275053323565,0.8333333333333334,46.93877551020408,1.000116062612146,12.19305622653739,Low Risk,1.0,0.0
18154,Shree Navjeevan Blood Centre Dhule,Dhule,Dhule,Behi,15,0.0083333333333333,0.3666666666666666,11.909662374050797,0.8333333333333334,44.89795918367347,2.346759943289036,12.01951311507396,Low Risk,1.0,0.0
284589,M/S. Jai Mata Di Bahuddeshiya SansthaS Melghat Blood Centre,Amravati,Amravati,Melghat,15,0.1166666666666666,0.1916666666666666,6.905617992827291,11.666666666666666,23.46938775510204,1.3607293960350182,11.624195954450933,Low Risk,0.9,9.999999999999998
18072,"Metro Blood Centre,Civil Hospital Aundh Pune",Pune,Pune,Aundh,15,0.1333333333333333,0.15,6.392505529023701,13.333333333333334,18.367346938775512,1.2596222664928525,11.365075634650426,Low Risk,0.875,12.5
18262,"Civil Surgeon, District General Hospital Blood Centre",Parbhani,Parbhani,Parbhani,15,0.0333333333333333,0.1666666666666666,20.90099668627928,3.333333333333333,20.40816326530613,4.118472905247775,11.131659042638477,Low Risk,0.8333333333333334,16.666666666666664
18069,Jankalyan Raktapedhi Pune,Pune,Pune,Shukrawar Peth,15,0.05,0.2666666666666666,31.957550418640945,5.0,32.6530612244898,6.297130586297044,10.98754795269671,Low Risk,1.0,0.0
18112,"Smbt Institute Of Medical Science And Research Centre, Blood Centre And Component",Nashik,Nashik,Igatpuri,15,0.0,0.3416666666666667,3.943319217914765,0.0,41.83673469387755,0.7770181297806747,10.653438205914556,Low Risk,1.0,0.0
18147,Anandrushiji Blood Centre,Ahmadnagar,Ahmednagar,Burudgaon,15,0.0166666666666666,0.3083333333333333,15.074832779494873,1.6666666666666667,37.75510204081633,2.9704463995368844,10.59805377675497,Low Risk,1.0,0.0
284555,M/S. Freedom Foundation Sanchlit Lifeline Blood Centre,Pune,Pune,Somatane,15,0.0083333333333333,0.325,7.416976854371157,0.8333333333333334,39.795918367346935,1.461490983998394,10.522685671169668,Low Risk,1.0,0.0
