hospital_code,blood_bank_name,district,degree_centrality,betweenness_centrality,closeness_centrality,largest_component_after,lcc_node_loss,lcc_loss_percent,betweenness_score,degree_score,failure_impact_score,network_criticality
284359,"Maha Victory Charitable Trust, Lifeline Blood Centre, Bapgaon, Tal. Bhiwandi, Dist. Thane",Thane,0.2248062015503876,0.010595131293846788,0.011429391860694636,94,1,1.0526315789473684,1.6461067238755167,100.0,100.0,60.658442689550206
282570,Sankalp Blood Centre,Thane,0.2248062015503876,0.005256214280286173,0.011429391860694636,94,1,1.0526315789473684,0.4870995326798678,100.0,100.0,60.19483981307195
283795,Autus Blood Centre,Pune,0.11111111111111112,0.4636581305148626,0.0158530732771146,95,0,0.0,100.0,45.67901234567901,0.0,53.7037037037037
284350,Manipal Hospitals Pvt Ltd Blood Centre,Pune,0.11111111111111112,0.246964381732137,0.0158530732771146,95,0,0.0,52.9586969626212,45.67901234567901,0.0,34.88718248875218
282733,Rotary Blood Centre,Pune,0.11111111111111112,0.13091984255772623,0.0158530732771146,95,0,0.0,27.766985785895248,45.67901234567901,0.0,24.810498018061804
283198,Riddhi Vinayak Hospital Services Public Charitable Trust Blood Centre,Palghar,0.031007751937984496,0.21165268076410762,0.0,95,0,0.0,45.29300085770987,7.4074074074074066,0.0,20.33942256530617
284358,"Poona Medical Relief And Research Foundation, Kai Madhukar Sakharam Bidkar Blood Centre, Pune",Pune,0.11111111111111112,0.0690434478722246,0.0158530732771146,95,0,0.0,14.334451392945669,45.67901234567901,0.0,19.437484260881973
280692,Pune Blood Centre,Pune,0.11111111111111112,0.03617073793216249,0.0158530732771146,95,0,0.0,7.198227488762646,45.67901234567901,0.0,16.58299469920876
283207,Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,Pune,0.11111111111111112,0.018756746113276,0.0158530732771146,95,0,0.0,3.4178837047615374,45.67901234567901,0.0,15.070857185608318
284448,"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",Pune,0.11111111111111112,0.009546692523334075,0.0158530732771146,95,0,0.0,1.4185047455218287,45.67901234567901,0.0,14.271105601912435
