hospital_code,blood_bank_name,district,degree,degree_centrality,betweenness_centrality,closeness_centrality
27131,Dr.Shankarrao Chavan Government Medical College And Hospital Blood Centre Nanded,Nanded,6,0.0182370820668693,0.0,0.012322092937254649
282668,Lokmanya Blood Centre,Aurangabad,11,0.03343465045592705,0.0,0.0023389678553959177
27130,"Medical Supritentent Sub-District (Rural) Hospital Blood Centre, Gadchiroli Aheri",Gadchiroli,2,0.0060790273556231,0.0,0.0005243249706105363
280128,M/S Navi Mumbai Blood Centre,Raigarh,74,0.22492401215805471,3.706723997331159e-05,0.009531733757883003
280125,Red Plus Blood Centre Pune,Pune,38,0.11550151975683891,0.0,0.008843256463840326
284844,"Civil Hospital Palghar Blood Centre, Palghar",Palghar,5,0.015197568389057751,0.0,0.0034341158576142138
280126,Morya Blood Centre,Pune,38,0.11550151975683891,0.0,0.009639763915900441
280123,M/S Vidyashree Charitable Trusts Om Blood Centre,Pune,38,0.11550151975683891,0.0,0.014947339564353946
284843,"Government Medical College And General Hospital Blood Centre, Baramati, District Pune",Pune,2,0.0060790273556231,0.0,0.0007351129808402147
280124,M/S Pimpri Chinchwad Blood Centre,Pune,38,0.11550151975683891,0.0,0.009970904619049845
284721,"Kranti Mitra Mandal Public Charitable Trusts, Om Blood Centre, Shirur.",Pune,6,0.0182370820668693,0.0,0.0005909163754733175
284720,"Dr. D.Y. Patil Medical College Hospital And Research Centre Blood Centre, Pimpri, Pune.",Pune,38,0.11550151975683891,0.0,0.009910992586152023
280120,Shree Swami Samarth Blood Centre,Ratnagiri,0,0.0,0.0,0.0
27107,TATA MEMORIAL CENTRE-ACTREC,Mumbai,74,0.22492401215805471,7.413447994662318e-05,0.012233366880641503
27104,Sanjeevani Blood Centre,Aurangabad,11,0.03343465045592705,0.0,0.0024680795565924897
27105,Indian Red Cross Society Blood Bank Ratnagiri,Ratnagiri,1,0.00303951367781155,0.0,0.03277578336897756
27108,Jankalyan Blood Center,Nandurbar,1,0.00303951367781155,0.0,0.0015542698901172076
27109,District General Hospital Blood Bank Satara,Satara,3,0.00911854103343465,0.0,0.0010906286702159803
284835,"Shaurya Blood Centre, Blood Component And Apheresis Centre, Ahmedpur, Dist. Latur",Latur,2,0.0060790273556231,0.00016680257987990215,0.00037510765879833404
27117,"Blood Bank Civil Hospital, Bhandara",Bhandara,2,0.0060790273556231,1.8533619986655795e-05,0.0008946186799020426
27118,"Blood Bank Civil Hospital, Ratnagiri",Ratnagiri,1,0.00303951367781155,0.0,0.03277578336897756
27115,"Blood Bank Civil Hospital, Beed",Bid,0,0.0,0.0,0.0
27116,"Blood Bank Civil Hospital, Alibag",Raigarh,39,0.11854103343465046,0.0,0.0043320796249631185
27119,"Blood Bank Civil Hospital, Solapur",Solapur,9,0.02735562310030395,0.0,0.02002958351572879
27114,"Blood Bank Civil Hospital, Amravati",Amravati,5,0.015197568389057751,1.8533619986655795e-05,0.0009582012379330922
27111,Shwas foundation kavathemahankal trust sanchalit maha blood centre and comprehensive thalassemia day,Pune,15,0.04559270516717325,0.0,0.0014001855894767348
283208,Support Multipurpose Society Aadhar Blood Centre,Ahmadnagar,8,0.0243161094224924,0.0,0.000872500924405922
283207,Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,Pune,30,0.0911854103343465,0.0,0.01588380147723642
282598,Dnyandeep Blood Center Of Modern Institute Of Technology,Solapur,10,0.030395136778115502,1.8533619986655795e-05,0.020030219271339366
282599,Dean Datta Meghe Medical Collecge M.S.Dattatraya Blood Centre,Nagpur,18,0.0547112462006079,0.0,0.001853242353454375
284529,Spandan Blood Centre,Pune,38,0.11550151975683891,0.0,0.01471998375296226
284765,"Shree Sainath Blood Centre, Sinnar, Tal. Sinnar, Dist. Nashik",Nashik,12,0.0364741641337386,0.003058047297798206,0.0010881248751647794
